"","x","y","sst","chlo","a","b","phyto_max","dt"
"20",-7.5,72.5,2.63562015734692,0.87843376086879,0.0610019820633564,-0.845179906910178,-7.6,0.01
"21",-2.5,72.5,3.791329370058,0.722506986082675,-0.206502307570873,-0.866635710013352,-7.6,0.01
"22",2.5,72.5,4.84558547817212,0.672437825909841,-0.312527019239314,-0.87505462391412,-7.7,0.01
"23",7.5,72.5,6.11739588994831,0.659687529523147,-0.341422374502127,-0.87734059962764,-7.7,0.01
"24",12.5,72.5,6.94660582887225,0.756748074933986,-0.140238874215544,-0.861349441438164,-7.6,0.01
"25",17.5,72.5,7.0328457527254,0.878987860107155,0.0618115423984927,-0.845114508428196,-7.6,0.01
"26",22.5,72.5,5.60165698545494,1.15804713658948,0.379457498915882,-0.819225388113053,-7.4,0.01
"27",27.5,72.5,5.64591037133205,1.59327420384132,0.651729840888159,-0.796572154987343,-7.2,0.01
"28",32.5,72.5,5.26370388975151,1.88255886508891,0.753542444160766,-0.787897255893421,-7.1,0.01
"29",37.5,72.5,4.03457700415933,2.07477366914567,0.800761825310538,-0.783795298746976,-7.1,0.01
"30",42.5,72.5,3.35342539126282,1.70888037099711,0.697764518961345,-0.792671542764461,-7.2,0.01
"31",47.5,72.5,3.15039503603043,1.22340868036033,0.433702946670148,-0.814753870879331,-7.4,0.01
"32",52.5,72.5,2.44613750336664,0.879558707062715,0.0626446602202985,-0.845047203949183,-7.6,0.01
"33",57.5,72.5,1.3942729925731,0.298516976231246,-1.68760992963444,-0.979558083999359,-8,0.01
